RCT,Paper,Experiment_ID,Publication,Country,Region,Site,Latitude,Longitude,NDVI_paper,GCC,GC,MAT,MAP,Biomes,Species,Sand_paper,Silt_paper,Clay_paper,BD,Magnitude_W,Magnitude_Other,Magnitude_O_Note,Start_yr,Duration,Mid_yr,SWC,SWC_matric,pH,SOC_paper,TN,CN,TP,MBN,MBN_unit,MBC,MBC_unit,Convertor,Cmic,Data_source,Comments,Collecter,Checker,tmean,phh2o,soc,prec,land_cover,clay,sand,nitrogen,elev,ndvi
1,1,C4_W,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,3.26,0.24,13.84,NA,NA,,0.6779,g/kg,83.33333333,56.49166667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,326,417.1,G,299.25,545.54,240,28,0.218684226
2,1,C3_W,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,2.51,0.18,13.72,NA,NA,,0.5691,g/kg,83.33333333,47.425,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,251,417.1,G,299.25,545.54,180,28,0.218684226
3,1,C4_W_eCO2,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,3.16,0.22,14.28,NA,NA,,0.4036,g/kg,83.33333333,33.63333333,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,316,417.1,G,299.25,545.54,220,28,0.218684226
4,1,C3_W_eCO2,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,3.23,0.22,14.62,NA,NA,,0.4242,g/kg,83.33333333,35.35,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,323,417.1,G,299.25,545.54,220,28,0.218684226
5,1,C4_W_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,2.73,0.2,13.71,NA,NA,,0.4567,g/kg,83.33333333,38.05833333,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,273,417.1,G,299.25,545.54,200,28,0.218684226
6,1,C3_W_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,1.88,0.14,13.48,NA,NA,,0.272,g/kg,83.33333333,22.66666667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,188,417.1,G,299.25,545.54,140,28,0.218684226
7,1,C4_W_eCO2_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,2.46,0.17,14.46,NA,NA,,0.2613,g/kg,83.33333333,21.775,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,246,417.1,G,299.25,545.54,170,28,0.218684226
8,1,C3_W_eCO2_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,2.37,0.16,14.58,NA,NA,,0.2363,g/kg,83.33333333,19.69166667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,237,417.1,G,299.25,545.54,160,28,0.218684226
9,4,W_eCO2,"Liu et al., 2014, 2017; Chen et al., 2016",China,Jiangsu,Changshu,31.5,120.55,NA,C_eCO2,W_eCO2,16,1150,Agriculture,Rice-wheat rotation,NA,NA,NA,1.2,2,100 ppm,CO2,2010,3,2012,NA,,7.47,1.65474,0.18,9.23,NA,NA,,0.68,g/kg,83.33333333,56.66666667,Table 1 of Liu_2014_SBB,Averaged from 3 stage,JJ,XR,2887.75,74.7,165.474,1045.1,C,324.97,200.77,180,7,0.185492307
10,4,W,"Liu et al., 2014, 2017; Chen et al., 2017",China,Jiangsu,Changshu,31.5,120.55,NA,C,W,16,1150,Agriculture,Rice-wheat rotation,NA,NA,NA,1.2,2,,,2010,3,2012,NA,,7.62,1.34502,0.146,9.2,NA,NA,,0.363333333,g/kg,83.33333333,30.27777775,Table 1 of Liu_2014_SBB,Averaged from 3 stage,JJ,XR,2887.75,76.2,134.502,1045.1,C,324.97,200.77,146,7,0.185492307
11,7,Abisko_depth1,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",Sweden,Abisko Scienti?c Research Station,Abisko,68.33,20.85,NA,C,W,-0.7,299,Tundra,Arctic tundra,NA,NA,NA,NA,2.1,,,1989,18,1998,NA,,7.1,NA,NA,7.533333333,NA,NA,,7.566666667,g/kg,83.33333333,630.5555556,Table 3 of Schmidt_2002_PlantSoil,Low altitude,JJ,XR,2698.583333,71,1380.28,536.1,S,74.48,568.91,611.06,450,0.170094311
12,7,Abisko_depth2,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",Sweden,Abisko Scienti?c Research Station,Abisko,68.33,20.85,NA,C,W,-4.8,299,Tundra,Arctic tundra,NA,NA,NA,NA,2.1,,,1989,18,1998,NA,,5.2,NA,NA,7.533333333,NA,NA,,8.966666667,g/kg,83.33333333,747.2222223,Table 3 of Schmidt_2002_PlantSoil,High altitude,JJ,XR,2698.583333,52,1380.28,536.1,S,74.48,568.91,611.06,1150,0.170094311
13,7,TL_depth1,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",USA,Alaska,Toolik Lake,68.63,-149.57,NA,C,W,-8.5,347,Tundra,Arctic tundra,NA,NA,NA,0.12,2.1,,,1989,18,1998,NA,,4.6,58.90625,2.022222222,8.566666667,0.216666667,NA,,16.93333333,g/kg,83.33333333,1411.111111,Table 3 of Schmidt_2002_PlantSoil,Low altitude,JJ,XR,2640,46,5890.625,152.8,S,214.54,378.33,2022.222222,780,0.170094311
14,7,TL_depth2,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",USA,Alaska,Toolik Lake,68.63,-149.57,NA,C,W,-8.5,347,Tundra,Arctic tundra,46,26,28,0.6,2.1,,,1989,18,1998,NA,,6,4.202287582,0.214705882,12.7,0.007156863,NA,,4.433333333,g/kg,83.33333333,369.4444444,Table 3 of Schmidt_2002_PlantSoil,High altitude,JJ,XR,2640,60,420.2287582,152.8,S,280,460,214.705882,730,0.170094311
15,11,,"Allison et al., 2010; Treseder et al., 2016; Allison & Treseder, 2008",USA,Alaska,Delta Junction,63.92,-145.73,NA,C,W,-2,303,Forest,Boreal forest,NA,NA,NA,NA,1.2,,,2006,3,2008,60.43,GVC,NA,NA,NA,NA,NA,26.7,ug/g,0.349,g/kg,83.33333333,29.08333333,Table 1 of Allison_2010_SBB,,JJ,XR,2684.666667,53.94,1388.88,259.4,FC,80.63,353.78,587.73,445,0.174660474
16,14-15,W_Pr_remove,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_remove,W_Pr_remove,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,-30,Precipitation%,2010,3,2012,6.7,VWC,6.6,0.19,0.01,15.5,NA,0.0158,g/kg,0.483,g/kg,83.33333333,40.25,Table 3 of Li_2018_SBB,Reduced precipitation (P-),JJ,XR,2823,66,19,1458.8,FC,140,800,10,71,0.185492307
17,14-15,W,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C,W,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,,,2010,3,2012,7.4,VWC,6.6,0.19,0.01,16.8,NA,0.0165,g/kg,0.484,g/kg,83.33333333,40.33333333,Table 3 of Li_2018_SBB,No Precipitation change (P0),JJ,XR,2823,66,19,1458.8,FC,140,800,10,71,0.185492307
18,14-15,W_Pr_add,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_add,W_Pr_add,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,30,Precipitation%,2010,3,2012,7.4,VWC,6.4,0.2,0.01,16,NA,0.0135,g/kg,0.512,g/kg,83.33333333,42.66666667,Table 3 of Li_2018_SBB,Precipitation added (P+),JJ,XR,2823,64,20,1458.8,FC,140,800,10,71,0.185492307
19,16,,"Gao, 2016",China,Fujian,Sanming,26.32,117.6,NA,C,W,19.1,1749,Forest,Chinese Fir,NA,NA,NA,NA,5,,,2015,1,2016,NA,,NA,NA,NA,NA,NA,20.454,mg/kg,0.160472578,g/kg,83.33333333,13.37271483,Figure 3.1,,JJ,XR,2891.083333,53.1,250.38,2563.2,FT,312.4,377.66,186.49,300,0.199286684
20,16,,"Gao, 2016",China,Fujian,Sanming,26.32,117.6,NA,C_N,W_N,19.1,1749,Forest,Chinese Fir,NA,NA,NA,NA,5,80 kg/ha/yr,N,2015,1,2016,NA,,NA,NA,NA,NA,NA,19.618,mg/kg,0.1773164,g/kg,83.33333333,14.77636667,Figure 3.1,,JJ,XR,2891.083333,53.1,250.38,2563.2,FT,312.4,377.66,186.49,300,0.199286684
21,17,W," Liu et al., 2017 ",China,Fujian,Sanming,26.33,117.61,NA,C,W,19.1,1750,Forest,Chinese Fir,NA,NA,NA,NA,5,,,2014,1,2015,22.7,VWC,4.7,1.42,0.14,10.5,NA,NA,,0.163,g/kg,83.33333333,13.58333333,Table 3,,JJ,XR,2889.583333,47,142,2143.8,FT,304.07,374.74,140,260,0.199286684
22,17,W_N80," Liu et al., 2017 ",China,Fujian,Sanming,26.33,117.61,NA,C_N,W_N,19.1,1750,Forest,Chinese Fir,NA,NA,NA,NA,5,80 kg/ha/yr,N,2014,1,2015,21.2,VWC,4.6,1.35,0.14,9.9,NA,NA,,0.197,g/kg,83.33333333,16.41666667,Table 3,,JJ,XR,2889.583333,46,135,2143.8,FT,304.07,374.74,140,260,0.199286684
23,17,W_N40," Liu et al., 2017 ",China,Fujian,Sanming,26.33,117.61,NA,C_N,W_N,19.1,1750,Forest,Chinese Fir,NA,NA,NA,NA,5,40 kg/ha/yr,N,2014,1,2015,21.8,VWC,4.6,1.32,0.13,10.5,NA,NA,,0.243,g/kg,83.33333333,20.25,Table 3,,JJ,XR,2889.583333,46,132,2143.8,FT,304.07,374.74,130,260,0.199286684
24,18,W,"Zhou et al., 2013",China,Inner Mongolia,Duolun,42.03,116.3,NA,C,W,2.1,383,Grassland,"Stipa krylovii, Artemisia frigida, Potentilla acaulis, Cleistogenes squarrosa, Allium bidentatum",62.8,20.3,16.9,1.31,0.98,,,2005,4,2007,NA,,NA,NA,NA,NA,NA,87.744,mg/kg,0.717,g/kg,83.33333333,59.75,Figure 1,,JJ,XR,2769.583333,81.12,160.85,316.9,G,169,628,197.97,1324,0.218684226
25,18,W_subsurface,"Zhou et al., 2013",China,Inner Mongolia,Duolun,42.03,116.3,NA,C,W,2.1,383,Grassland,"Stipa krylovii, Artemisia frigida, Potentilla acaulis, Cleistogenes squarrosa, Allium bidentatum",62.8,20.3,16.9,1.31,0.98,,,2005,4,2007,NA,,NA,NA,NA,NA,NA,44.82,mg/kg,0.316,g/kg,83.33333333,26.33333333,Figure 1,,JJ,XR,2769.583333,81.12,160.85,316.9,G,169,628,197.97,1324,0.218684226
26,18,W_Pr_add,"Zhou et al., 2013",China,Inner Mongolia,Duolun,42.03,116.3,NA,C_Pr_add,W_Pr_add,2.1,383,Grassland,"Stipa krylovii, Artemisia frigida, Potentilla acaulis, Cleistogenes squarrosa, Allium bidentatum",62.8,20.3,16.9,1.31,0.98,Increase VWC by 1.23%,Precipitation%,2005,4,2007,NA,,NA,NA,NA,NA,NA,131.159,mg/kg,0.89,g/kg,83.33333333,74.16666667,Figure 1,,JJ,XR,2769.583333,81.12,160.85,316.9,G,169,628,197.97,1324,0.218684226
27,18,W_Pr_add_subsurface,"Zhou et al., 2013",China,Inner Mongolia,Duolun,42.03,116.3,NA,C_Pr_add,W_Pr_add,2.1,383,Grassland,"Stipa krylovii, Artemisia frigida, Potentilla acaulis, Cleistogenes squarrosa, Allium bidentatum",62.8,20.3,16.9,1.31,0.98,Increase VWC by 1.23%,Precipitation%,2005,4,2007,NA,,NA,NA,NA,NA,NA,53.29,mg/kg,0.37,g/kg,83.33333333,30.83333333,Figure 1,,JJ,XR,2769.583333,81.12,160.85,316.9,G,169,628,197.97,1324,0.218684226
28,19,W,"Li et al., 2017,2018",Korea,Seoul,Korea University,37.59,127.03,NA,C,W,13.4,808.9,Forest,Pinus densiflora seedlings,80,6,14,NA,3,,,2013,1.5,2014,7.21,VWC,NA,NA,NA,NA,NA,48.12,mg/kg,0.358,g/kg,83.33333333,29.83333333,Table 1,,JJ,XR,2832.083333,59.67,348.76,898.7,FC,140,800,332.29,51,0.199286684
29,19,W_Pr_remove,"Li et al., 2017,2018",Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_remove,W_Pr_remove,13.4,808.9,Forest,Pinus densiflora seedlings,80,6,14,NA,3,-30,Precipitation%,2013,1.5,2014,6.77,VWC,NA,NA,NA,NA,NA,37.1,mg/kg,0.31,g/kg,83.33333333,25.83333333,Table 1,,JJ,XR,2832.083333,59.67,348.76,898.7,FC,140,800,332.29,51,0.199286684
30,19,W_Pr_add,"Li et al., 2017,2018",Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_add,W_Pr_add,13.4,808.9,Forest,Pinus densiflora seedlings,80,6,14,NA,3,30,Precipitation%,2013,1.5,2014,9.08,VWC,NA,NA,NA,NA,NA,39.65,mg/kg,0.269,g/kg,83.33333333,22.41666667,Table 1,,JJ,XR,2832.083333,59.67,348.76,898.7,FC,140,800,332.29,51,0.199286684
31,20,W,"Wang et al., 2014",China,Qinghai-Tibet Plateau,"Naqu, Tibet and Haibei",36.95,100.9,NA,C,W,1.7,391.5,Meadow,,NA,NA,NA,NA,1,,,2012,2,2013,NA,,7.05,4.139,0.678,7.43,0.143,0.124,g/kg,0.5386,g/kg,83.33333333,44.88333333,Table 1,UDel,JJ,XR,2751.75,70.5,413.9,371.4,G,198.7,406.44,678,3091,0.199286684
32,20,W,"Wang et al., 2014",China,Qinghai-Tibet Plateau,"Naqu, Tibet and Haibei",36.95,100.9,NA,C,W,1.7,391.5,Meadow,,NA,NA,NA,NA,0.9776,,,2004,10,2009,NA,,7.06,4.256,0.733,6.91,0.137,0.129,g/kg,0.522,g/kg,83.33333333,43.5,Table 1,UDel,JJ,XR,2754.083333,70.6,425.6,480.9,G,198.7,406.44,733,3091,0.229172915
33,21,,"Sorensen et al., 2018",USA,New  Hampshire,White Mountain National Forest,43.56,-71.45,NA,C,W,3.5,1189,Forest,"Acer rubrum, Fagus grandifolia",NA,NA,NA,0.36,1,,,2014,2,2015,NA,,4.5,7.884920635,0.28968254,25.6,NA,NA,,0.7,g/kg,83.33333333,58.33333333,Table 3,UDel,JJ,XR,2777.833333,45,788.4920635,1219.5,FB,102.21,554.21,289.68254,662.5,0.199286684
34,22,Macro,"Liu et al., 2021",USA,Massachusetts,Harvard Forest,42.53,-72.19,NA,C,W,8,1080,Forest,,NA,NA,NA,NA,5,,,1991,27,2005,NA,,4.7,NA,NA,NA,NA,NA,,0.6855,g/kg,83.33333333,57.125,Figure S1,Macroaggregate ,JJ,XR,2805,47,997.94,1536.9,FB,99.07,602.77,646.73,359,0.159797117
35,22,Micro,"Liu et al., 2021",USA,Massachusetts,Harvard Forest,42.53,-72.19,NA,C,W,8,1080,Forest,,NA,NA,NA,NA,5,,,1991,27,2005,NA,,4.7,NA,NA,NA,NA,NA,,0.85,g/kg,83.33333333,70.83333333,Figure S1,Microaggregate ,JJ,XR,2805,47,997.94,1536.9,FB,99.07,602.77,646.73,359,0.159797117
36,23,W,"Waqas et al., 2021",China,Hubei,Jingzhou,30.35,112.15,NA,C,W,16.5,1200,Agriculture,Rice,NA,NA,NA,1.44,2,,,2011,9,2016,NA,,7.45,1.25,0.144,NA,0.074,21.2,mg/kg,0.179,g/kg,83.33333333,14.91666667,Table 1,,JJ,XR,2904.5,74.5,125,1378.3,C,226.51,360.84,144,21,0.199286684
37,23,W_eCO2,"Waqas et al., 2021",China,Hubei,Jingzhou,30.35,112.15,NA,C_eCO2,W_eCO2,16.5,1200,Agriculture,Rice,NA,NA,NA,1.44,2,80 ppm,CO2,2011,9,2016,NA,,7.75,1.49,0.144,NA,0.072,34.9,mg/kg,0.227,g/kg,83.33333333,18.91666667,Table 1,,JJ,XR,2904.5,77.5,149,1378.3,C,226.51,360.84,144,21,0.199286684
38,24,Altitude 4313,"Fu et al., 2012",China,Tibetan Plateau,Nyainqentanglha Mountains,30.5,91.05,NA,C,W,1.3,476.8,Meadow,Kobresia,NA,NA,NA,NA,1.26,,,2011,0.25,2011,19.4,VWC,6.35,3.335,0.26,NA,NA,67.406,mg/kg,0.349666667,g/kg,83.33333333,29.13888892,Figure 1,Altitude 4313,JJ,XR,2749.666667,63.5,333.5,512.9,G,154.31,510.94,260,4313,0.217258245
39,24,Altitude 4513,"Fu et al., 2012",China,Tibetan Plateau,Nyainqentanglha Mountains,30.5,91.05,NA,C,W,1.3,476.8,Meadow,Kobresia,NA,NA,NA,NA,0.98,,,2011,0.25,2011,22,VWC,6.35,3.335,0.26,NA,NA,54.257,mg/kg,0.341,g/kg,83.33333333,28.41666667,Figure 1,Altitude 4513,JJ,XR,2749.666667,63.5,333.5,512.9,G,154.31,510.94,260,4513,0.217258245
40,24,Altitude 4693,"Fu et al., 2012",China,Tibetan Plateau,Nyainqentanglha Mountains,30.5,91.05,NA,C,W,1.3,476.8,Meadow,Kobresia,NA,NA,NA,NA,1.37,,,2011,0.25,2011,20.4,VWC,6.35,3.335,0.26,NA,NA,96.713,mg/kg,0.680666667,g/kg,83.33333333,56.72222225,Figure 1,Altitude 4693,JJ,XR,2749.666667,63.5,333.5,512.9,G,154.31,510.94,260,4693,0.217258245
41,25,W,"Liu et al., 2021",China,Henan, Baotianman Forest Ecosystem Research Station,33.47,111.93,NA,C,W,15.1,894,Forest,Q. aliena,NA,NA,NA,0.83,1.75,,,2011,1.333333333,2012,47.18,GWC,NA,3.5,0.31,11.5,NA,59.3,mg/kg,0.376,g/kg,83.33333333,31.33333333,Figure 2,,JJ,XR,2884.666667,60.12,350,643.7,FB,210.02,355.32,310,1400,0.185492307
42,25,W_Pr_remove,"Liu et al., 2021",China,Henan, Baotianman Forest Ecosystem Research Station,33.47,111.93,NA,C_Pr_remove,W_Pr_remove,15.1,894,Forest,Q. aliena,NA,NA,NA,0.86,1,-50,Precipitation%,2011,1.333333333,2012,34.06,GWC,NA,4.06,0.32,12.8,NA,259.837,mg/kg,1.079,g/kg,83.33333333,89.91666667,Figure 2,,JJ,XR,2884.666667,60.12,406,643.7,FB,210.02,355.32,320,1400,0.185492307
43,25,W,"Liu et al., 2021",China,Henan, Baotianman Forest Ecosystem Research Station,33.47,111.93,NA,C,W,15.1,894,Forest,Q. aliena,NA,NA,NA,0.95,1.75,,,2011,1.333333333,2012,33.24,GWC,NA,2.11,0.25,8.8,NA,93.751,mg/kg,0.362,g/kg,83.33333333,30.16666667,Figure 2,,JJ,XR,2884.666667,60.12,211,643.7,FB,210.02,355.32,250,1400,0.185492307
44,25,W_Pr_add,"Liu et al., 2021",China,Henan, Baotianman Forest Ecosystem Research Station,33.47,111.93,NA,C_Pr_remove,W_Pr_remove,15.1,894,Forest,Q. aliena,NA,NA,NA,1.1,1,-50,Precipitation%,2011,1.333333333,2012,29.13,GWC,NA,2.09,0.22,9.5,NA,101.689,mg/kg,0.434,g/kg,83.33333333,36.16666667,Figure 2,,JJ,XR,2884.666667,60.12,209,643.7,FB,210.02,355.32,220,1400,0.185492307
45,26,KH,"Yuan et al., 2021",China,Qinghai,KH,37.73,100.08,NA,C,W,-2.96,420,Meadow,K. humilis,NA,NA,NA,NA,1.81,,,2014,4,2016,80.1,GWC,6.69,12.53,0.941,13.32,0.123,NA,,1.9,g/kg,83.33333333,158.3333333,Table 2,,JJ,XR,2700.583333,66.9,1253,432.6,G,155.07,436.91,941,3800,0.199286684
46,26,KT,"Yuan et al., 2021",China,Qinghai,KT,36.7,100.77,NA,C,W,2.8,413,Meadow,K. tibetica,NA,NA,NA,NA,1.22,,,2014,4,2016,94,GWC,7.92,10.64,0.769,13.84,0.065,NA,,2.4,g/kg,83.33333333,200,Table 2,,JJ,XR,2755.25,79.2,1064,486.9,G,195.86,403.69,769,3212,0.199286684
48,29,W,"Cui et al., 2021",China,Jilin,Songnen,44.7,123.73,NA,C,W,5,400,Meadow,Leymus chinensis,NA,NA,NA,NA,1.7,,,2015,5,2018,NA,,9,NA,NA,NA,NA,0.018,g/kg,0.046,g/kg,83.33333333,3.833333333,Figure 1,,JJ,XR,2797.333333,90,117.87,496,G,204.5,522.06,246.74,128,0.199286684
